beta,se,z,p
"[-0.10654715720240752, 0.4074194204124966]","[0.06770174310520341, 0.08602758978204925]","[-1.5737727319197863, 4.735915785211384]","[0.11554000021093203, 2.1806813264952703e-6]"
"[-0.10280249958511846, 0.3383195424563787]","[0.06869431083286148, 0.07707143337772196]","[-1.4965213034197957, 4.389687950894817]","[0.134517860644682, 1.1351343188339435e-5]"
"[0.03791840040490052, 0.19422868543512165]","[0.06966880051005692, 0.08134206319503101]","[0.5442665888790044, 2.387801314670693]","[0.586258035016267, 0.016949502240996398]"
"[-0.033433026274382, 0.2089894264508805]","[0.0648471285947205, 0.07678696348429716]","[-0.5155667953060906, 2.7216784850936135]","[0.606157006475626, 0.0064951300068336265]"
"[0.011989602008528213, 0.2799996330314048]","[0.06053913812317462, 0.06453987062313417]","[0.19804712092421656, 4.338397804767826]","[0.8430081966459263, 1.4352519560060352e-5]"
"[-0.010283273640715011, 0.29345813505989826]","[0.06185434492375455, 0.07357868832843797]","[-0.16624981888322968, 3.9883577939031762]","[0.8679603551102534, 6.65322663675039e-5]"
"[-0.05311380370696477, 0.3658586028153347]","[0.06813969250549994, 0.07771478963282516]","[-0.7794840533317297, 4.707708848520172]","[0.43569462767387623, 2.5051656426705204e-6]"
"[-0.04303282146327182, 0.22762104579795697]","[0.07989260297137621, 0.08466476806856638]","[-0.5386333635754683, 2.688497836710737]","[0.5901398616726676, 0.007177430074380926]"
"[-0.056134155887799644, 0.3031417226086017]","[0.06205618818486121, 0.06871954533252565]","[-0.9045698346888431, 4.411288246185786]","[0.36569332215799244, 1.0275741584267304e-5]"
"[-0.04927784236753841, 0.3083146119795794]","[0.08366864477104147, 0.08663910345368091]","[-0.5889642709331173, 3.558608061363549]","[0.555885241695521, 0.00037282539719676465]"
"[0.017336458333732242, 0.23004831023602398]","[0.06824266870455652, 0.0699642259522586]","[0.2540413301945605, 3.2880848334261823]","[0.7994636283316969, 0.001008714390446102]"
"[-0.06739135831433318, 0.31975761192992186]","[0.07735483620845894, 0.0782817276424273]","[-0.8711977378211263, 4.084703053444351]","[0.3836461948979994, 4.413321889402662e-5]"
"[0.00014864301190444017, 0.33593356813586195]","[0.0652356885885131, 0.06805992014510218]","[0.0022785535819516696, 4.935850165848849]","[0.9981819788491345, 7.980235819734185e-7]"
"[0.07105858610882758, 0.20731351482858457]","[0.07151599890809368, 0.07035151578666775]","[0.9936040493560898, 2.9468237110517577]","[0.3204156720010064, 0.00321056180088255]"
"[-0.12296400254759621, 0.3503595709947476]","[0.07826673746473446, 0.07969713319258442]","[-1.5710889009906859, 4.396137689772604]","[0.11616200031310149, 1.1019404910081847e-5]"
"[0.09268267625124996, 0.24499480847496707]","[0.06565184174623864, 0.07328618065817023]","[1.4117300259373147, 3.34298780854333]","[0.15802946882363522, 0.0008288154105294406]"
"[-0.032279682383208656, 0.2451950820927672]","[0.060092200812722804, 0.07370773701006131]","[-0.5371692490313045, 3.3265854039081053]","[0.5911507104274712, 0.0008791707403771854]"
"[0.0760778219562275, 0.20710121930579092]","[0.06582972950513208, 0.08030644627009084]","[1.1556757490594958, 2.5788866140242]","[0.2478138111910514, 0.009911931519444842]"
"[-0.05302237771437656, 0.28828448305080645]","[0.07477653654483042, 0.08241935467155535]","[-0.7090777423555624, 3.4977765137767993]","[0.4782762343200615, 0.0004691540905705448]"
"[0.1117780633344757, 0.2175194972362519]","[0.07369606733157935, 0.07773917656482901]","[1.5167439373875233, 2.7980679349601285]","[0.12933134646250005, 0.005140929858399279]"
"[0.11631559939059476, 0.19665491967992876]","[0.0831074055677704, 0.09298999676154172]","[1.3995816449322864, 2.114796499931272]","[0.1616386336467223, 0.03444729532297328]"
"[-0.1285231524260131, 0.29385870261797975]","[0.06573481521348065, 0.07646284908217683]","[-1.9551762944585875, 3.8431565936309973]","[0.05056226555893975, 0.0001214619133547296]"
"[0.036034573682479004, 0.20443400657076324]","[0.0688245239832021, 0.07387414354933261]","[0.5235717095736675, 2.7673282795386145]","[0.6005764626543106, 0.005651781158682386]"
"[-0.10040253266856512, 0.13253915879092334]","[0.06622558021712951, 0.06736956267338681]","[-1.5160687507664237, 1.9673447998094347]","[0.12950196899430616, 0.049143473527091405]"
"[0.0161057768606082, 0.24621766395658065]","[0.07019764820512066, 0.08045944226398534]","[0.22943470717916936, 3.0601462926967216]","[0.8185310630897866, 0.002212289014619851]"
"[-0.0038081710673146083, 0.27599250208709963]","[0.07467404681499829, 0.07564083570060585]","[-0.050997250446988454, 3.6487235965967657]","[0.9593277115245733, 0.00026354646719773555]"
"[0.05554860567157626, 0.19544095024336927]","[0.05759514269215696, 0.0668671590770805]","[0.9644668469436853, 2.9228241926365754]","[0.33481192214119454, 0.0034687230982768298]"
"[-0.025173445166019544, 0.2823872965346556]","[0.06722106350126816, 0.0713122365227975]","[-0.3744874575741372, 3.959871549455337]","[0.7080416862963089, 7.499008800334586e-5]"
"[-0.021162298024369038, 0.23854061454711256]","[0.08089391683638772, 0.08272240377622533]","[-0.2616055551763048, 2.883627695254062]","[0.7936255607293334, 0.003931232249367351]"
"[0.013702321671428035, 0.2557137211743155]","[0.05607945297482677, 0.0705362441993721]","[0.24433764854266327, 3.625281216441516]","[0.8069693275821588, 0.00028864717739724214]"
"[0.008608087503361759, 0.15774497201160928]","[0.07576296696708737, 0.07498224901886483]","[0.11361866948929347, 2.103764211872628]","[0.9095400870777522, 0.03539902006728671]"
"[0.05386427953874475, 0.24661090121845008]","[0.07029366091325014, 0.07016064884673669]","[0.7662750643364415, 3.5149461310878465]","[0.4435126521347946, 0.00043984319884997727]"
"[-0.15663334184421188, 0.3712093858952604]","[0.06951077504632588, 0.08535115264238814]","[-2.2533677942710697, 4.349201790520469]","[0.02423596841744498, 1.3663394416667945e-5]"
"[0.11326301533792145, 0.14333631228210697]","[0.060401616499331415, 0.06145751431357036]","[1.8751653002395252, 2.332282941851051]","[0.060769986278636584, 0.01968581130635301]"
"[0.09692830739888607, 0.0599484696131342]","[0.05961114290862802, 0.08377113288850767]","[1.626009881197175, 0.7156220471904154]","[0.10394755334584421, 0.4742247562802019]"
"[0.09365390835792121, 0.27836828387806273]","[0.05844693175458427, 0.07136237192272683]","[1.6023751041572083, 3.900771182038171]","[0.10907268670331784, 9.588674930571085e-5]"
"[0.14413117913856321, 0.260797511820165]","[0.061299770978542036, 0.07612489801276419]","[2.351251511021408, 3.425916075137939]","[0.018710382057013936, 0.0006127296743317536]"
"[0.0021707353036962617, 0.24629651409421094]","[0.06069751975125294, 0.06690597413349123]","[0.0357631631834751, 3.681233511417061]","[0.9714712057862532, 0.00023210830460242935]"
"[-0.022067320972325066, 0.13796353328507424]","[0.06343157473765008, 0.08173020002558168]","[-0.3478917410389768, 1.6880361633997156]","[0.7279214880155875, 0.09140428719271652]"
"[0.1263785515119774, 0.23342361500946374]","[0.060066157534824194, 0.07227537278654997]","[2.103989279465857, 3.2296424910713504]","[0.035379382179600155, 0.001239451005489701]"
